106. 112. 119. 127. 132. 145. 171. 199. 230. 235. 254. 280. 300. 320. 330. 333. 373. 390. 420. 426. 440.
11.5 12.0 12.0 12.0 15.0 17.0 28.0 33.0 52.0 60.0 70.0 76.0 85.0 86.0 89.0 89.0 75.0 76.0 69.0 59.0 61.0
